"","Subtype","EBF","TCF","TNF","LMAN2","RARG","SMAD3B2","ZAP70_CpG3","ZAP70_SHORE","CLL13R.Imp","CLL15R.Imp","CLL1R.3.Imp","CLL5R.Imp","CLL6R.Imp","CLL9F.Imp","Myeloid1R.2.Imp","Myeloid4F.2.Imp","Myeloid6R.Imp","T.NK1R.Imp","T.NK4F.Imp","T.NK5F.Imp"
"J Neg selected Non-CLL","Impure",0.7742655,0.695543,0.4978155,0.32587225,0.339598,0.286259,0.255755,0.160049667,0.6,0.5,0.5,0.51,0.54,0.55,1,1,1,0.41,0.34,0.51
"K Neg selected Non-CLL","Impure",0.9289705,0.754144667,0.5109595,0.302963,0.24663,0.313117,0.357899,0.345447333,0.63,0.46,0.47,0.44,0.44,0.48,0.88,1,0.92,0.36,0.29,0.36
"LP 0%","Impure",0.866946,0.655752333,0.5954795,0.3894535,0.30899,0.232873,0.409672,0.466927,0,0,0,0,0,0,1,1,1,0.42,0.58,0.54
"M Neg selected Non-CLL","Impure",0.9024655,0.71141,0.576217,0.38625725,0.29727,0.265251333,0.487735,0.529256,0,0.3,0.37,0.12,0.09,0.4,0.77,0.96,0.83,0.19,0.29,0.32
"N Neg selected Non-CLL","Impure",0.8779615,0.731426667,0.566187,0.40482,0.24432,0.223990667,0.397504,0.383953333,0,0.03,0.13,0,0,0.14,1,1,0.85,0.61,0.43,0.47
"O Neg selected Non-CLL","Impure",0.9295125,0.798001667,0.4750885,0.382459,0.3498625,0.265759333,0.360662,0.366704333,0,0.13,0,0.03,0.03,0.07,1,1,0.93,0.5,0.42,0.52
"P Neg selected Non-CLL","Impure",0.8536605,0.660443333,0.5156875,0.39264625,0.211014,0.244013,0.385183,0.443322,0,0,0.24,0.06,0.07,0.24,0,1,0.74,0,0.31,0.44
"Q Neg selected Non-CLL","Impure",0.8684705,0.768416667,0.409842,0.44979525,0.4633075,0.412648333,0.328644,0.304958667,0,0.11,0.16,0.11,0.08,0.22,1,1,1,0.53,0.49,0.59
"R Neg selected Non-CLL","Impure",0.8508115,0.763961333,0.393867,0.4453255,0.37029,0.350379667,0.397836,0.370947,0,0.2,0.36,0.12,0.04,0.39,0.98,1,1,0.38,0.5,0.52
"S Neg selected Non-CLL","Impure",0.656767,0.504015333,0.440849,0.36870075,0.3074755,0.325605333,0.316655,0.266409,0.25,0.42,0.32,0.29,0.29,0.33,1,1,1,0.47,0.41,0.52
"162","IP",0.0617395,0.457629667,0.2150105,0.32350325,0.256095,0.052256667,0.433077,0.386066333,0.95,0.98,1,1,0.95,0.95,0.51,1,1,0.04,0.1,0.08
"365","IP",0.093579,0.205021333,0.499993,0.12958575,0.0392365,0.046365333,0.257819,0.443998333,0.95,0.82,0.91,0.89,0.95,0.88,1,1,1,0.09,0.1,0.09
"613","IP",0.07771,0.096694667,0.6222945,0.18399525,0.0490085,0.061293,0.304737,0.13597,0.95,0.98,0.94,0.97,0.95,0.85,1,0.39,1,0.08,0.1,0.06
"705","IP",0.124174,0.221843667,0.6519505,0.3085335,0.248807,0.196667,0.44639,0.773048,0.95,0.98,1,0.95,0.95,0.94,1,1,1,0.03,0.1,0.09
"280B","IP",0.1748315,0.280047,0.1755865,0.18093775,0.2308885,0.177415333,0.31998,0.454563,0.95,0.83,0.8,0.81,0.95,0.8,1,1,1,0.21,0.1,0.17
"482A","IP",0.147086,0.195471,0.383191,0.213657,0.0969435,0.376316,0.437441,0.585237333,0.68,0.77,0.83,0.76,0.82,0.83,1,0.9,1,0.16,0.1,0.2
"573A","IP",0.146424,0.218609,0.1642995,0.282904,0.1155025,0.37445,0.421505,0.601447,0.8,0.74,0.84,0.79,0.69,0.78,0.9,1,1,0.21,0.1,0.2
"604A","IP",0,0.175109,0.205728,0.245904,0.267634,0.1802355,0.388444,0.722965,0.95,0.94,0.94,0.97,0.95,0.86,1,1,1,0.08,0.1,0.11
"631A","IP",0.0614505,0.215311,0,0.243555667,0.3832075,0.08861,0.31428,0.611447,0.95,0.96,1,1,0.95,0.91,1,1,1,0,0.1,0.09
"664A","IP",0.0375795,0.186292,0.2224135,0.34451125,0.2967135,0.060770333,0.562175,0.706615,0.95,1,0.77,0.87,0.69,0.86,1,1,0.93,0,0.1,0.12
"CLL_398","IP",0.0595265,0.138726,0.9297585,0.28736,0.15068,0.082814333,0.518896,0.463489667,0.95,0.88,0.95,0.64,0.95,0.88,1,1,1,0.1,0.1,0.09
"CLL23","IP",0.050814,0.100784333,0.753598,0.23616975,0.037032,0.029327,0.278607,0.834135333,0.77,1,1,0.92,0.95,1,1,1,1,0,0.1,0.05
"CLL39","IP",0.04307,0.074283667,0,0.15847475,0.287481,0.069860667,0.444528,0.744312,0.95,0.74,0.97,1,0.95,0.26,0.95,1,1,0.02,0.1,0
"CLL40","IP",0.1665295,0.064432667,0.209727,0.142008,0.295665,0.250382333,0.235694,0.645515,0.95,1,1,0.98,0.95,1,1,1,1,0.1,0.1,0.04
"CLL46","IP",0.03694,0.056361667,0.2131015,0.20834075,0.024361,0.035940667,0.258999,0.379650333,0.95,0.85,1,1,0.95,0.95,1,1,1,0.05,0.1,0.07
"CLL64","IP",0.0424895,0.056976667,0.464052,0.298997,0.0478725,0.055954667,0.275328,0.201858333,0.95,1,1,1,0.95,0.97,1,1,1,0.04,0.1,0.04
"CLL71","IP",0.195717,0.265258,0,0.1716815,0.333666,0.346053,0.243115,0.094279333,0.95,1,1,1,0.95,1,1,1,1,0,0.1,0.02
"EWILL","IP",0.073203,0.401072667,0.560594,0.08723025,0.0207155,0.047891667,0.244082,0.246819,0.95,1,1,1,0.95,1,1,1,1,0.12,0.1,0.07
